Title,Artist,Nationality,BeginDate,EndDate,Gender,Date,Department,Cost
"Nakoma Sculpture Basin, project, Madison, WI",Frank Lloyd Wright,(American),-1867,-1959,(Male),1924,Architecture & Design, 934 
Plate (folio 17) from EL INGENIOSO HIDALGO DON QUIXOTE DE LA MANCHA,Roberto Matta,(Chilean),-1911,-2002,(Male),1991,Prints & Illustrated Books," 1,205 "
New York City,Lee Friedlander,(American),-1934,,(Male),1963,Photography," 1,389 "
"Duplicate of plate from folio 12 (supplementary suite, plate 5) from LA VILLE",Frans Masereel,(Belgian),-1889,-1972,(Male),1925,Prints & Illustrated Books," 1,415 "
(Stucco wall and flowers),Brett Weston,(American),-1911,-1993,(Male),1952,Photography," 1,049 "
GÉOGRAPHIE ANIMALE,Jean Lurçat,(French),-1892,-1966,(Male),-1948,Prints & Illustrated Books, 981 
Untitled,Lawrence Weiner,(American),-1942,,(Male),1968,Drawings," 1,241 "
"Plate 15 from FUTURISTI, ASTRATTISTI, DADAISTI, PRECURSORI DELL'AVANGUARDIA, Volume 1/FUTURISTS, ABSTRACTIONISTS, DADAISTS, THE FORERUNNERS OF THE",Emilio Pettoruti,(Argentine),-1892,-1971,(Male),1962,Prints & Illustrated Books," 1,149 "
THE LOVING SHEPHERDESS,Jean Kellogg,(American),-1910,-1995,(Female),1956,Prints & Illustrated Books," 1,145 "
Eric,Wynn Bullock,(American),-1902,-1975,(Male),1955,Photography, 933 
"Court House Project, Plan",Ludwig Mies van der Rohe,(American),-1886,-1969,(Male),c. 1935,Architecture & Design," 1,256 "
The Heritage IV,Luc Tuymans,(Belgian),-1958,,(Male),1996,Painting & Sculpture," 1,044 "
"Carbonization (Carbonisation) from Elements, Moments (Eléments, Moments) from Phenomena (Les Phénomènes)",Jean Dubuffet,(French),-1901,-1985,(Male),1959,Prints & Illustrated Books," 1,358 "
Headpiece (page 75) from CIRQUE DE L'ÉTOILE FILANTE,Georges Rouault,(French),-1871,-1958,(Male),1926-1938,Prints & Illustrated Books, 939 
Rear Guard,José Clemente Orozco,(Mexican),-1883,-1949,(Male),1929,Prints & Illustrated Books," 1,082 "
Richard Meier letterhead,Richard Meier,(American),-1934,,(Male),1977,Architecture & Design," 1,185 "
Plakate der Avantgarde (Posters of the Avant-Garde) (Poster for a Munich exhibition of works from the collection of Jan Tschichold),Jan Tschichold,(Swiss),-1902,-1974,(Male),1930,Architecture & Design," 1,048 "
Why Just So,Milan Knížák,(Czech),-1940,,(Male),1965,Prints & Illustrated Books," 1,330 "
Diamond Ring from The Sun Quartet,Tacita Dean,(British),-1965,,(Female),2002,Media and Performance Art," 1,234 "
Plate (page 23) from La Nouvelle chute d'Amérique,Roy Lichtenstein,(American),-1923,-1997,(Male),1992,Prints & Illustrated Books," 1,456 "
Untitled from Verde y Negro,Carmen Herrera,(Cuban),-1915,,(Female),2017,Prints & Illustrated Books, 970 
Vignette (folio 90 verso) from LES AMOURS,Émile Bernard,(French),-1868,-1941,(Male),1915,Prints & Illustrated Books," 1,130 "
Untitled,David Shrigley,(British),-1968,,(Male),2000,Prints & Illustrated Books," 1,415 "
U rek vavilonskikh. Natsional'no-evreiskaia lirika v mirovoi poezii (By the Rivers of Babylon: Jewish Lyrics in World Poetry),El Lissitzky,(Russian),-1890,-1941,(Male),1917,Prints & Illustrated Books," 1,174 "
Untitled from Favorite Objects,Christian Boltanski,(French),-1944,,(Male),1998,Prints & Illustrated Books," 1,111 "
Mercolized from DeLuxe,Ellen Gallagher,(American),-1965,,(Female),2004-2005,Prints & Illustrated Books," 1,016 "
Untitled from Biblical Themes,Ben-Zion,(American),-1897,-1987,(Male),1950,Prints & Illustrated Books," 1,197 "
Untitled (page 9) from ENDOCRINOLOGY,Kiki Smith,(American),-1954,,(Female),1997,Prints & Illustrated Books, 946 
Cat and Dog,Pierre Bonnard,(French),-1867,-1947,(Male),-1924,Prints & Illustrated Books, 914 
Drizzle,Robert Rauschenberg,(American),-1925,-2008,(Male),1968,Prints & Illustrated Books," 1,463 "
"First state of CHLOE BATHING (supplementary suite, plate 37) from DAPHNIS AND CHLOE",Aristide Maillol,(French),-1861,-1944,(Male),1937,Prints & Illustrated Books," 1,385 "
"Mouth, 7",Tom Wesselmann,(American),-1931,-2004,(Male),1966,Painting & Sculpture," 1,162 "
Double page in-text plate (folios 48 and 49) from THE DEPARTURE OF THE ARGONAUT,Francesco Clemente,(Italian),-1952,,(Male),1983-1986,Prints & Illustrated Books," 1,260 "
Plate (folio 103) from LA VILLE,Frans Masereel,(Belgian),-1889,-1972,(Male),1925,Prints & Illustrated Books," 1,084 "
Átame,Pedro Almodóvar,(Spanish),-1949,,(Male),1990,Film," 1,018 "
"BIRDCATCHER, proof of 2nd color (supplementary suite, plate 2) from ANVOUAIAJE PAR IN NINBESIL AVEC DE ZIMAJE",Jean Dubuffet,(French),-1901,-1985,(Male),1949-1950,Prints & Illustrated Books," 1,300 "
Untitled #264,José Antonio Suárez Londoño,(Colombian),-1955,,(Male),2009,Prints & Illustrated Books, 913 
Repeat of pictorial initial L from page 14 (page 318) from LES PETITES FLEURS,Émile Bernard,(French),-1868,-1941,(Male),1928,Prints & Illustrated Books," 1,000 "
"SKELETON, plate IX (page 63) from LES FLEURS DU MAL",Georges Rouault,(French),-1871,-1958,(Male),1925-1966,Prints & Illustrated Books," 1,265 "
A Funky Space Reincarnation from God Love the Tragic Artist: Meg Cranston on the Life of Marvin Gaye,Meg Cranston,(American),-1960,,(Female),1995,Drawings, 945 
United Enemies I,Thomas Schütte,(German),-1954,,(Male),2011,Painting & Sculpture," 1,317 "
Ventriloquism,William Wegman,(American),-1943,,(Male),1970-1971,Media and Performance Art, 968 
Sergeiu Eseninu,Aleksandr Rodchenko,(Russian),-1891,-1956,(Male),1926,Prints & Illustrated Books, 958 
Switzerland,Henri Cartier-Bresson,(French),-1908,-2004,(Male),1966,Photography," 1,050 "
Plate (folio 26) from EL INGENIOSO HIDALGO DON QUIXOTE DE LA MANCHA,Roberto Matta,(Chilean),-1911,-2002,(Male),1991,Prints & Illustrated Books," 1,384 "
Plate (folio 20) from POÈMES À VOIR,Pierre Alechinsky,(Belgian),-1927,,(Male),1986,Prints & Illustrated Books," 1,397 "
Silver Suite,Garo Antreasian,(American),-1922,,(Male),1967-1968,Prints & Illustrated Books," 1,292 "
Police Roadblock at Civil Rights March Just Outside Belfast from the series The Troubles,Les Levine,(American),-1935,,(Male),1977,Prints & Illustrated Books," 1,221 "
Wat is er te zien in Alkmaar? En hoe ziet de vreemdeling dat het gemakkelijkst? [What is there to see in Alkmaar? And how does the visitor see it most easily?],Fré Cohen,(Dutch),-1903,-1943,(Female),1931,Architecture & Design, 990 
FORTIFICATIONS. PORTE DAUPHINE,Eugène Atget,(French),-1857,-1927,(Male),1913,Photography," 1,328 "
"Plate 3 of 11, from the illustrated book, He Disappeared into Complete Silence",Louise Bourgeois,(American),-1911,-2010,(Female),1995,Prints & Illustrated Books," 1,393 "
Tablet Litho 3,Eleanore Mikus,(American),-1927,-2017,(Female),1968,Prints & Illustrated Books," 1,284 "
MR110 Reclining Chair (Perspective sketch),Ludwig Mies van der Rohe,(American),-1886,-1969,(Male),1926-1946,Architecture & Design," 1,087 "
Plate 7 (folio 26) from LECTURE,Zao Wou-ki,(French),-1920,-2013,(Male),1950,Prints & Illustrated Books," 1,402 "
Plate (facing page 16) from THE SUICIDE CLUB,Karl Schrag,(American),-1912,-1995,(Male),1941,Prints & Illustrated Books, 964 
Headpiece (page 67) from Wunderhorn,Max Ernst,(French),-1891,-1976,(Male),1970,Prints & Illustrated Books," 1,141 "
Color separations for LOISIRS,Jean Dubuffet,(French),-1901,-1985,(Male),-1966,Prints & Illustrated Books," 1,007 "
Fluxus Placemat from Fluxkit,Robert Watts,(American),-1923,-1988,(Male),c. 1966,Prints & Illustrated Books, 980 
Untitled (snails),Ingeborg Gabriel,(German),-1951,-1996,(Female),1990,Drawings," 1,071 "
Le Manège de Monsieur Barré,Robert Doisneau,(French),-1912,-1994,(Male),1955,Photography," 1,004 "
Untitled from Favorite Objects,Christian Boltanski,(French),-1944,,(Male),1998,Prints & Illustrated Books," 1,036 "
Psi Art Gathering from The Whole Works,Yutaka Matsuzawa,(Japanese),-1922,-2006,(Male),1969,Prints & Illustrated Books," 1,264 "
Contour Lines Scribed in Swamp Grass,Dennis Oppenheim,(American),-1938,-2011,(Male),1969,Photography," 1,113 "
"Urban Proposal with Multi Thin-Shell Capsules, project (Scale model)",Daniel Grataloup,(Swiss),-1937,,(Male),1974,Architecture & Design," 1,455 "
WAR,John J. Cu Roi,(American),-1920,,(Male),1953,Prints & Illustrated Books," 1,306 "
from ORPHEUS,Varujan Boghosian,(American),-1926,,(Male),-1951,Prints & Illustrated Books," 1,221 "
Plate (page 60) from PARALLÈLEMENT,Pierre Bonnard,(French),-1867,-1947,(Male),1900,Prints & Illustrated Books," 1,223 "
Spring Angel D,Gary Hume,(British),-1962,,(Male),2000,Prints & Illustrated Books," 1,118 "
Untitled (mushrooms),Ingeborg Gabriel,(German),-1951,-1996,(Female),(c. 1990),Drawings," 1,466 "
Headpiece (page 36) from L'IMITATION DE JÉSUS-CHRIST,Maurice Denis,(French),-1870,-1943,(Male),1893-1903,Prints & Illustrated Books," 1,372 "
Floor Drain,Bruce Nauman,(American),-1941,,(Male),1983-1985,Prints & Illustrated Books," 1,493 "
"Plate (suite, plate 11) from MABEL: A STORY",Jim Dine,(American),-1935,,(Male),1977,Prints & Illustrated Books," 1,142 "
"THE TROIKA IN THE EVENING, plate LXXXV (supplementary suite) from LES ÂMES MORTES",Marc Chagall,(French),-1887,-1985,(Male),1923-1948,Prints & Illustrated Books," 1,439 "
MONTMORENCY. PORTE ÉGLISE,Eugène Atget,(French),-1857,-1927,(Male),1902,Photography," 1,391 "
Alphabets,Jasper Johns,(American),-1930,,(Male),1962,Prints & Illustrated Books," 1,273 "
Fountain of Youth,Arthur B. Davies,(American),-1862,-1928,(Male),1918-1919,Prints & Illustrated Books," 1,431 "
ISBN 978-1-907118-99-9 Launch Invite,Fiona Banner,(British),-1966,,(Female),2010,Prints & Illustrated Books," 1,354 "
Two Years of War in England,William Vandivert,(American),-1912,-1992,(Male),1927-1943,Photography," 1,250 "
"HABITATIONS OF HYDRA, plate 6 (folio 18) from AN AEGEAN NOTE-BOOK",Roloff Beny,(Canadian),-1924,-1984,(Male),(1948-1950),Prints & Illustrated Books," 1,386 "
The Fighter or Revolutionary,August Sander,(German),-1876,-1964,(Male),1925,Photography," 1,301 "
Plate 2 (folio 3) from INTERLUDE,Richard Tuttle,(American),-1941,,(Male),1974,Prints & Illustrated Books," 1,469 "
ISSY -- ANCIEN CHÂTEAU,Eugène Atget,(French),-1857,-1927,(Male),1901,Photography," 1,100 "
Living Forms (Les Formes vivantes),Aleksandr Archipenko,(American),-1887,-1964,(Male),-1963,Prints & Illustrated Books," 1,104 "
Untitled from Keffieyeh,Tsibi Geva,(Israeli),-1951,,(Male),1992,Prints & Illustrated Books," 1,305 "
Sunflowers from Seed to Seed,Edward Steichen,(American),-1879,-1973,(Male),1920-1961,Photography," 1,168 "
SITTING NUDE (duplicate of title page; front cover) from CHANSONS POUR ELLE,Aristide Maillol,(French),-1861,-1944,(Male),1939,Prints & Illustrated Books," 1,269 "
In-text plate (page 87) from SYLVIE,Pierre Laprade,(French),-1875,-1931,(Male),1938-1940,Prints & Illustrated Books, 984 
Plate (folio 7 verso) from LOS RENEGADOS,Lorenzo Homar,(American),-1913,-2004,(Male),1962,Prints & Illustrated Books," 1,365 "
Aleko's Fantasy. Sketch for the choreographer for Scene IV of the ballet Aleko,Marc Chagall,(French),-1887,-1985,(Male),-1942,Drawings," 1,498 "
The American War,Harrell Fletcher,(American),-1967,,(Male),2005,Photography," 1,272 "
"Shrub and Rapids, Merced River, Yosemite Valley, California",Ansel Adams,(American),-1902,-1984,(Male),c. 1960,Photography," 1,238 "
Men's Fashions,Eugène Atget,(French),-1857,-1927,(Male),c. 1899-1927,Photography," 1,102 "
"THE ANNIVERSARIE (plate, page 51) from SONGS AND SONETS",June Wayne,(American),-1918,-2011,(Female),1959,Prints & Illustrated Books," 1,061 "
Brownjohn (Personal letterhead for Robert Brownjohn),Robert Brownjohn,(American),-1925,-1970,(Male),1950s,Architecture & Design," 1,128 "
SAINTE PÉLAGIE -- DÉMOLI,Eugène Atget,(French),-1857,-1927,(Male),1898,Photography, 954 
Name card for Ray Johnson,George Maciunas,(American),-1931,-1978,(Male),c. 1964,Prints & Illustrated Books," 1,398 "
Untitled from Die Nibelungen (The Nibelungs),Carl Otto Czeschka,(Austrian),-1878,-1960,(Male),-1920,Prints & Illustrated Books," 1,455 "
Plate (page 19) from BALLADES,J.J.J. (Jean-Jacques-Joachim) Rigal,(French),-1926,-1997,(Male),1956,Prints & Illustrated Books," 1,445 "
"Aux Vieilles Tapisseries: 44 Sentences de Louise Bourgeois, text 6 of 44",Louise Bourgeois,(American),-1911,-2010,(Female),2005,Prints & Illustrated Books," 1,264 "
"A Little of This, A Little of That",Edward Ruscha,(American),-1937,,(Male),1975,Drawings, 902 
2 Wings for Wall and Person,Vito Acconci,(American),-1940,-2017,(Male),1979-1981,Prints & Illustrated Books," 1,397 "
Albany Report stationery,Elaine Lustig Cohen,(American),-1927,-2016,(Female),1960s,Architecture & Design, 992 
Two Lines -- Temporal I,George Rickey,(American),-1907,-2002,(Male),1964,Painting & Sculpture," 1,373 "
"Illinois Institute of Technology, Library and Administration Building, project, Chicago, Illinois (Interior perspective)",Ludwig Mies van der Rohe,(American),-1886,-1969,(Male),1944,Architecture & Design, 901 
HOTEL GARDT. MINISTRE DE LA JUSTICE. 44 RUE DU CHERCHE-MIDI,Eugène Atget,(French),-1857,-1927,(Male),1911-1912,Photography," 1,231 "
Laes Politiken,Per Arnoldi,(Danish),-1941,,(Male),1979,Architecture & Design, 906 
Red Bermudas,Howard Hodgkin,(British),-1932,-2017,(Male),1978-1980,Painting & Sculpture, 967 
31 Janv-17Fev 1935. Exposition de L'Habitation,Jacques Nathan-Garamond,(French),-1910,-2001,(Male),1935,Architecture & Design, 909 
"Upside Down, No. 1",John Coplans,(British),-1920,-2003,(Male),1992,Photography, 911 
"Transvestite with Torn Stocking, New York City",Diane Arbus,(American),-1923,-1971,(Female),1966,Photography," 1,057 "
Alabama,Lewis W. Hine,(American),-1874,-1940,(Male),1914,Photography," 1,445 "
Plate (page 71) from PENTATOLI,Edouard-Léon-Louis Edy-Legrand,(French),-1892,-1970,(Male),1926-1931,Prints & Illustrated Books," 1,396 "
Dream No. 22: Last Kiss,Grete Stern,(Argentine),-1904,-1999,(Female),1949,Photography," 1,487 "
"Saint Roch, chaire",Eugène Atget,(French),-1857,-1927,(Male),1912,Photography," 1,167 "
Senses I (Sinne I),Markus Raetz,(Swiss),-1941,,(Male),1987,Prints & Illustrated Books," 1,347 "
"Cancelled proof of plate facing page 114 (3rd supplementary suite, plate 7) from LA LÉGENDE ET LA VIE D'UTRILLO",Maurice Utrillo,(French),-1883,-1955,(Male),-1927,Prints & Illustrated Books," 1,402 "
Ascending Lines (Linhas Ascendentes),Marcel Giró,(Spanish),-1913,-2011,(Male),c. 1960,Photography, 915 
"TUI (in-text plate, folio 11) from I CHING",Sheila Isham,(American),-1927,,(Female),1969,Prints & Illustrated Books," 1,156 "
"Lafayette Towers, Detroit, MI",Ludwig Mies van der Rohe,(American),-1886,-1969,(Male),1960,Architecture & Design," 1,385 "
The Hearth (L'Atre) from Landscapes and Interiors (Paysages et intérieurs),Édouard Vuillard,(French),-1868,-1940,(Male),1899,Prints & Illustrated Books," 1,492 "
Sculpture: Orange-Blue,Peter Alexander,(American),-1939,,(Male),1970,Painting & Sculpture, 902 
1003,Michael Rodriguez,(American),-1964,,(Male),-2003,Drawings," 1,077 "
Snakes and Ruins,Benjamin Degen,(American),-1976,,(Male),2003,Drawings," 1,350 "
In-text plate (page 57) from Les Histoires du Petit Renaud,Pierre Bonnard,(French),-1867,-1947,(Male),1927,Prints & Illustrated Books," 1,352 "
Sunflowers from Seed to Seed,Edward Steichen,(American),-1879,-1973,(Male),1920-1961,Photography," 1,323 "
Door Handle (model FSB 1058),Johannes Potente,(German),-1908,-1987,(Male),1958,Architecture & Design, 997 
Plate (folio 19) from LA ROSA DEL HERBOLARIO,Luisa Zuloaga de Palacios,(Venezuelan),-1923,-1990,(Female),1969,Prints & Illustrated Books," 1,304 "
"Weissenhof Apartment House, ""The Dwelling"" Exhibition, Stuttgart, Germany (Plan with chairs)",Ludwig Mies van der Rohe,(American),-1886,-1969,(Male),1926-1927,Architecture & Design," 1,454 "
FONTAINE. RUE GEOFFROY-SAINT-HILAIRE,Eugène Atget,(French),-1857,-1927,(Male),1921,Photography, 974 
Eight in Bed,Louise Bourgeois,(American),-1911,-2010,(Female),1998,Prints & Illustrated Books," 1,094 "
Headpiece (page 313) from THE WORKS,Edward Burne-Jones,(British),-1833,-1898,(Male),1893-1896,Prints & Illustrated Books," 1,461 "
Raven,Italo Scanga,(American),-1932,-2001,(Male),1981,Prints & Illustrated Books," 1,201 "
Untitled from Untitled (Truth and Beauty),Matt Mullican,(American),-1951,,(Male),2009,Prints & Illustrated Books," 1,365 "
Untitled,Richard Misrach,(American),-1949,,(Male),1972-1974,Photography," 1,208 "
"Kippenberger Fanden Wir Schon Immer Gut. Familie Graesslin ,",Martin Kippenberger,(German),-1953,-1997,(Male),1994,Prints & Illustrated Books," 1,237 "
Job Creators from Occuprint Portfolio,Brad Kayal,(),-1978,,(Male),2012,Prints & Illustrated Books, 903 
"X Poster (Untitled, 2008, Epson UltraChrome inkjet on linen, 84 x 69 in, WG2001)",Wade Guyton,(American),-1972,,(Male),2016,Prints & Illustrated Books," 1,085 "
Insects at Twilight,Charles Burchfield,(American),-1893,-1967,(Male),1917,Drawings," 1,180 "
Man Walking (L'homme qui marche),Alberto Giacometti,(Swiss),-1901,-1966,(Male),1957,Prints & Illustrated Books," 1,050 "
In-text plates (page 117) from LE MONDE MERVEILLEUX DES INSECTES,Jean Lurçat,(French),-1892,-1966,(Male),1950,Prints & Illustrated Books," 1,205 "
Cold Day,Eizi Kanbayashi,(Japanese),,,(Male),c. 1950,Photography," 1,211 "
Greece,Henri Cartier-Bresson,(French),-1908,-2004,(Male),1961,Photography," 1,114 "
Untitled. (Nude Study),Henri Matisse,(French),-1869,-1954,(Male),(c. 1908-1909),Drawings," 1,272 "
Concentric II from American Abstract Artists 60th Anniversary Print Portfolio,Richard Anuszkiewicz,(American),-1930,,(Male),1997,Prints & Illustrated Books," 1,380 "
Views of the Garden,Rachel Harrison,(American),-1966,,(Female),1999,Photography," 1,445 "
Untitled,Unknown,(),,,(),1925-1927,Photography," 1,267 "
Mammamay I,Suzanne McClelland,(American),-1959,,(Female),2004,Prints & Illustrated Books," 1,021 "
Landscape,Clarence H. White,(American),-1871,-1925,(Male),c. 1905,Photography," 1,451 "
"The New Trademark of Eastman and Son, the London Dyers & Cleaners Since 1802",E. McKnight Kauffer,(American),-1890,-1954,(Male),1925,Architecture & Design," 1,434 "
"Nobilissima Visione or St. Francis, design for ballet",Pavel Tchelitchew,(American),-1898,-1957,(Male),1938,Drawings," 1,313 "
"Wystawa Darow, Listopad 1978-Styczen 1979",Jerzy Czerniawski,(Polish),-1947,,(),1978,Architecture & Design," 1,376 "
Plate (page 33) from KNIZHNIE ZNAKI (EX LIBRIS),Dmitrii Mitrokhin,(Russian),-1883,-1973,(Male),1921,Prints & Illustrated Books," 1,379 "
Photogram,Elfriede Stegemeyer,(German),-1908,-1988,(Female),1933,Photography," 1,247 "
"Pittsburgh Point Park Civic Center Project, Pittsburgh, Pennsylvania",Frank Lloyd Wright,(American),-1867,-1959,(Male),1947,Architecture & Design," 1,413 "
SCREW from the portfolio ETC,Omar Rayo,(Colombian),-1928,-2010,(Male),1967,Prints & Illustrated Books," 1,329 "
In-text plate (folio 5 verso) from Metafisikal Translations,Eduardo Paolozzi,(British),-1924,-2005,(Male),1962,Prints & Illustrated Books," 1,052 "
Double page in-text plate (folios 5 verso and 6) from HERACLITUS,Étienne Hajdu,(French),-1907,-1996,(Male),1965,Prints & Illustrated Books," 1,115 "
"Ruins of the Church of San Domingo, Panama",Eadweard J. Muybridge,(American),-1830,-1904,(Male),1875,Photography," 1,130 "
Not to be the second Winner Part II from Courage to Print (Mut zum Druck),Martin Kippenberger,(German),-1953,-1997,(Male),1990,Prints & Illustrated Books," 1,301 "
A Stiff Pull (Suffolk),Peter Henry Emerson,(British),-1856,-1936,(Male),1888,Photography," 1,205 "
No. 87 (from 133 proposals for the Heiner Friedrich Gallery),Fred Sandback,(American),-1943,-2003,(Male),1969,Drawings," 1,352 "
In-text plate (page 32) from THE TUNNING OF ELYNOUR RUMMYNGE,Leonard Baskin,(American),-1922,-2000,(Male),1952-1953,Prints & Illustrated Books," 1,292 "
Metamorphosis 599,Helmar Lerski,(Swiss),-1871,-1956,(Male),1936,Photography, 963 
MONTMARTRE. MOULIN DE LA GALETTE,Eugène Atget,(French),-1857,-1927,(Male),1899-1900,Photography," 1,415 "
Lake Atitlan,Eadweard J. Muybridge,(American),-1830,-1904,(Male),1875,Photography," 1,295 "
Poster for No Wave Festival in Paris,Unknown,(Nationality unknown),,,(),1980,Architecture & Design," 1,239 "
Greeks,Jan Groover,(American),-1943,-2012,(Female),1984,Photography," 1,170 "
Man in Solferino Shirt: Front View from the Blue Jean Series,George Segal,(American),-1924,-2000,(Male),1975,Prints & Illustrated Books," 1,137 "
Just a bit more,Ranjani Shettar,(Indian),-1977,,(Female),2005-2006,Painting & Sculpture," 1,028 "
Eight Doors All the Same Size,Gary Hume,(British),-1962,,(Male),1991,Drawings, 986 
SAND DUNES,Brett Weston,(American),-1911,-1993,(Male),1947,Photography," 1,313 "
"CANTO II (plate, page 9) from ANTE-PURGATORIO",Jack Zajac,(American),-1929,,(Male),1964,Prints & Illustrated Books," 1,331 "
Speaking Parts,Atom Egoyan,(Canadian),-1960,,(Male),1989,Film," 1,430 "
Untitled (for Parkett no. 15),Mario Merz,(Italian),-1925,-2003,(Male),1988,Prints & Illustrated Books," 1,192 "
"Plate (volume I, folio 31) from FORMULATION: ARTICULATION",Josef Albers,(American),-1888,-1976,(Male),1970-1972,Prints & Illustrated Books," 1,300 "
Plate (inserted preceding page 9) from MASUO IKEDA,Masuo Ikeda,(Japanese),-1934,-1997,(Male),1967,Prints & Illustrated Books," 1,176 "
"Harlem Rally, Harlem, New York",Gordon Parks,(American),-1912,-2006,(Male),1963,Photography," 1,192 "
Everything That Happens is Because of the Sun,Chris Johanson,(American),-1968,,(Male),2002,Prints & Illustrated Books," 1,122 "
Saenredam,Jan Dibbets,(Dutch),-1941,,(Male),1973,Photography," 1,024 "
Jean Renoir - Filmpodium,Walter Pfeiffer,(),,,(Male),1978,Architecture & Design," 1,063 "
"TCHITCHIKOV SHAVES, plate LXXV (supplementary suite) from LES ÂMES MORTES",Marc Chagall,(French),-1887,-1985,(Male),1923-1948,Prints & Illustrated Books," 1,287 "
Plate (folio 87) from EL INGENIOSO HIDALGO DON QUIXOTE DE LA MANCHA,Roberto Matta,(Chilean),-1911,-2002,(Male),1991,Prints & Illustrated Books, 964 
Plate (folio 31) from BIOTHERM,Jim Dine,(American),-1935,,(Male),1989-1990,Prints & Illustrated Books," 1,310 "
(Untitled) (Clapsed Hands with Plaster),Kn Thurlbeck,(American),-1947,,(Male),1988,Photography," 1,492 "
Embroidery,Édouard Vuillard,(French),-1868,-1940,(Male),1895-1896,Painting & Sculpture, 962 
"Sketchbook: El Golea, II",Jean Dubuffet,(French),-1901,-1985,(Male),1948,Drawings," 1,276 "
"MR. STERN'S SALON: SIDE WITH DIVAN (after Louis Süe; plate, page 87) from ARCHITECTURES",Jacques Villon,(French),-1875,-1963,(Male),1921,Prints & Illustrated Books, 933 
"Urban Proposal with Multi Thin-Shell Capsules, project (Exterior perspective)",Daniel Grataloup,(Swiss),-1937,,(Male),1970-1996,Architecture & Design," 1,167 "
Untitled from Spirit Cooking,Marina Abramović,(Yugoslav),-1946,,(Female),1996,Prints & Illustrated Books," 1,412 "
Stan Spohn letterhead,Alvin Lustig,(American),-1915,-1955,(Male),c.1935-1945,Architecture & Design, 914 
Pictorial initial L (folio 6) from THE PHOENIX AND THE TURTLE,Léon Gischia,(French),-1903,,(Male),1944,Prints & Illustrated Books," 1,146 "
Pulverschmauch from Criminal Investigations (Die Morduntersuchung),Daniel Spoerri,(Swiss),-1930,,(Male),1971-1972,Prints & Illustrated Books," 1,138 "
Apartment Floor Plan Sketches,Ludwig Mies van der Rohe,(American),-1886,-1969,(Male),1926-1946,Architecture & Design," 1,355 "
ESCALIER. 3 RUE DES DÉCHARGEURS,Eugène Atget,(French),-1857,-1927,(Male),1908,Photography," 1,004 "
Untitled. (portrait of Wilmar Koenig),Michael Schmidt,(German),-1945,-2014,(Male),1991-1994,Photography," 1,021 "
"The River Styx, Aomori",Shomei Tomatsu,(Japanese),-1930,-2012,(Male),1959,Photography," 1,031 "
"Violet Romer. (trailing hand in pool, wearing fairy costume)",Edward Weston,(American),-1886,-1958,(Male),c. 1917,Photography," 1,142 "
"PORTRAIT OF PERTSCHIK (PFEFFERL), plate 14 (folio 18) from TEVIA THE MILKMAN, Volume II",Anatoli Lvovich Kaplan,(Russian),-1902,-1980,(Male),1957-1961,Prints & Illustrated Books," 1,000 "
"Untitled, plate 10 of 11, from the illustrated book, He Disappeared into Complete Silence, second edition",Louise Bourgeois,(American),-1911,-2010,(Female),1995,Prints & Illustrated Books," 1,297 "
Wedding Party,August Sander,(German),-1876,-1964,(Male),c. 1930,Photography," 1,076 "
Title Page from 18 Cantos,Barnett Newman,(American),-1905,-1970,(Male),1964,Prints & Illustrated Books," 1,135 "
Wall-Covering Material,Anni Albers,(American),-1899,-1994,(Female),1929,Architecture & Design," 1,276 "
"ON THE HANG UP, plate 9 (double page plate, folios 21 and 22) from D'UNE IMPRESSION L'AUTRE",Daniel Buren,(French),-1938,,(Male),1983,Prints & Illustrated Books," 1,180 "
Versailles,Eugène Atget,(French),-1857,-1927,(Male),1901,Photography," 1,096 "
Eight in Bed,Louise Bourgeois,(American),-1911,-2010,(Female),1998,Prints & Illustrated Books," 1,388 "
Untitled from What Red Lines Can Do,Helen Frankenthaler,(American),-1928,-2011,(Female),1970,Prints & Illustrated Books," 1,287 "
Green Awnings from The Archaics,Grace Hartigan,(American),-1922,-2008,(Female),1962-1966,Prints & Illustrated Books," 1,110 "
Cover from Marie,Pierre Bonnard,(French),-1867,-1947,(Male),1898,Prints & Illustrated Books," 1,432 "
LUNCH from the portfolio ETC,Omar Rayo,(Colombian),-1928,-2010,(Male),1967,Prints & Illustrated Books," 1,407 "
Great Wall of Shade (Muraille d'ombre) from the portfolio The Elemental (L' Elémentaire) from Phenomena (Les Phénomènes),Jean Dubuffet,(French),-1901,-1985,(Male),1958,Prints & Illustrated Books," 1,429 "
Squid Under Pier,Minna Citron,(American),-1896,-1991,(Female),1948,Prints & Illustrated Books," 1,018 "
Flesh to White to Black to Flesh,Bruce Nauman,(American),-1941,,(Male),1968,Media and Performance Art," 1,029 "
Upholstery Material,Anni Albers,(American),-1899,-1994,(Female),1929,Architecture & Design," 1,262 "
Pozegnanie z Diablem,Wiktor Górka,(Polish),-1922,-2004,(Male),1957,Architecture & Design," 1,243 "
"Plate (folio 7) from HALLO, U SPREEKT",Diederick Van Kleef,(Dutch),-1954,,(Male),1984,Prints & Illustrated Books," 1,212 "
Untitled,Harry Bertoia,(American),-1915,-1978,(Male),(c. 1950-1955),Prints & Illustrated Books," 1,334 "
Cyclist,Yasuo Kuniyoshi,(American),-1889,-1953,(Male),1939,Prints & Illustrated Books," 1,014 "
